Type,Scenario,Adjudicator,Adjudicator_Type,ReadingLevel,A1 Score,A2 Score,Comments,Extracted Value Score
Simulated,3,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,3,MSA,Student,College Level,5,4,,NA
Simulated,4,MSA,Student,5th Grade,2,2,,NA
Simulated,4,MSA,Student,8th/9th Grade,2,2,,NA
Simulated,4,MSA,Student,College Level,2,2,,NA
Simulated,5,MSA,Student,5th Grade,3,2,,NA
Simulated,5,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,5,MSA,Student,College Level,4,3,,NA
Simulated,6,MSA,Student,5th Grade,5,5,,NA
Simulated,6,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,6,MSA,Student,College Level,5,5,,NA
Simulated,7,MSA,Student,5th Grade,4,5,,NA
Simulated,7,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,7,MSA,Student,College Level,4,5,,NA
Simulated,8,MSA,Student,5th Grade,5,5,,NA
Simulated,8,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,8,MSA,Student,College Level,4,5,,NA
Simulated,9,MSA,Student,5th Grade,4,4,,NA
Simulated,9,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,9,MSA,Student,College Level,5,4,,NA
Simulated,10,MSA,Student,5th Grade,4,4,,NA
Simulated,10,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,10,MSA,Student,College Level,5,4,,NA
Simulated,11,MSA,Student,5th Grade,5,5,,NA
Simulated,11,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,11,MSA,Student,College Level,5,5,,NA
Simulated,12,MSA,Student,5th Grade,5,4,,NA
Simulated,12,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,12,MSA,Student,College Level,5,4,,NA
Simulated,13,MSA,Student,5th Grade,4,4,,NA
Simulated,13,MSA,Student,8th/9th Grade,4,4,,NA
Simulated,13,MSA,Student,College Level,4,4,,NA
Simulated,14,MSA,Student,5th Grade,2,2,,NA
Simulated,14,MSA,Student,8th/9th Grade,2,2,,NA
Simulated,14,MSA,Student,College Level,2,2,,NA
Simulated,15,MSA,Student,5th Grade,3,2,,NA
Simulated,15,MSA,Student,8th/9th Grade,3,2,,NA
Simulated,15,MSA,Student,College Level,2,1,,NA
Simulated,16,MSA,Student,5th Grade,1,1,,NA
Simulated,16,MSA,Student,8th/9th Grade,1,1,,NA
Simulated,16,MSA,Student,College Level,1,1,,NA
Simulated,17,MSA,Student,5th Grade,4,5,,NA
Simulated,17,MSA,Student,8th/9th Grade,4,4,,NA
Simulated,17,MSA,Student,College Level,5,5,,NA
Simulated,18,MSA,Student,5th Grade,3,2,,NA
Simulated,18,MSA,Student,8th/9th Grade,3,2,,NA
Simulated,18,MSA,Student,College Level,2,2,,NA
Simulated,19,MSA,Student,5th Grade,5,5,,NA
Simulated,19,MSA,Student,8th/9th Grade,4,5,,NA
Simulated,19,MSA,Student,College Level,5,5,,NA
Simulated,20,MSA,Student,5th Grade,5,4,,NA
Simulated,20,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,20,MSA,Student,College Level,5,4,,NA
Simulated,21,MSA,Student,5th Grade,5,4,,NA
Simulated,21,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,21,MSA,Student,College Level,5,4,,NA
Simulated,22,MSA,Student,5th Grade,4,3,,NA
Simulated,22,MSA,Student,8th/9th Grade,4,3,,NA
Simulated,22,MSA,Student,College Level,4,3,,NA
Simulated,23,MSA,Student,5th Grade,2,3,,NA
Simulated,23,MSA,Student,8th/9th Grade,1,3,,NA
Simulated,23,MSA,Student,College Level,1,3,,NA
Simulated,24,MSA,Student,5th Grade,5,5,,NA
Simulated,24,MSA,Student,8th/9th Grade,4,5,,NA
Simulated,24,MSA,Student,College Level,4,5,,NA
Simulated,25,MSA,Student,5th Grade,4,5,,NA
Simulated,25,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,25,MSA,Student,College Level,3,2,,NA
Simulated,26,MSA,Student,5th Grade,5,4,,NA
Simulated,26,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,26,MSA,Student,College Level,5,4,,NA
Simulated,27,MSA,Student,5th Grade,4,3,,NA
Simulated,27,MSA,Student,8th/9th Grade,4,3,,NA
Simulated,27,MSA,Student,College Level,5,3,,NA
Simulated,28,MSA,Student,5th Grade,5,4,,NA
Simulated,28,MSA,Student,8th/9th Grade,4,2,,NA
Simulated,28,MSA,Student,College Level,4,2,,NA
Simulated,29,MSA,Student,5th Grade,5,5,,NA
Simulated,29,MSA,Student,8th/9th Grade,4,5,,NA
Simulated,29,MSA,Student,College Level,5,5,,NA
Simulated,30,MSA,Student,5th Grade,5,5,,NA
Simulated,30,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,30,MSA,Student,College Level,5,5,,NA
Simulated,31,MSA,Student,5th Grade,5,4,,NA
Simulated,31,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,31,MSA,Student,College Level,5,4,,NA
Simulated,32,MSA,Student,5th Grade,4,3,,NA
Simulated,32,MSA,Student,8th/9th Grade,4,3,,NA
Simulated,32,MSA,Student,College Level,5,3,,NA
Simulated,33,MSA,Student,5th Grade,5,4,,NA
Simulated,33,MSA,Student,8th/9th Grade,5,4,,NA
Simulated,33,MSA,Student,College Level,5,4,,NA
Simulated,34,MSA,Student,5th Grade,3,3,,NA
Simulated,34,MSA,Student,8th/9th Grade,4,3,,NA
Simulated,34,MSA,Student,College Level,4,3,,NA
Simulated,35,MSA,Student,5th Grade,5,5,,NA
Simulated,35,MSA,Student,8th/9th Grade,5,5,,NA
Simulated,35,MSA,Student,College Level,5,5,,NA
Simulated,1,PD,Student,5th Grade,4,4,,NA
Simulated,1,PD,Student,8th/9th Grade,4,4,,NA
Simulated,1,PD,Student,College Level,2,3,,NA
Simulated,2,PD,Student,5th Grade,4,4,,NA
Simulated,2,PD,Student,8th/9th Grade,4,4,,NA
Simulated,2,PD,Student,College Level,4,4,,NA
Simulated,3,PD,Student,5th Grade,5,5,,NA
Simulated,3,PD,Student,8th/9th Grade,5,5,,NA
Simulated,3,PD,Student,College Level,5,5,,NA
Simulated,4,PD,Student,5th Grade,2,2,,NA
Simulated,4,PD,Student,8th/9th Grade,2,2,,NA
Simulated,4,PD,Student,College Level,2,2,,NA
Simulated,5,PD,Student,5th Grade,3,3,,NA
Simulated,5,PD,Student,8th/9th Grade,3,3,,NA
Simulated,5,PD,Student,College Level,4,3,,NA
Simulated,6,PD,Student,5th Grade,4,4,,NA
Simulated,6,PD,Student,8th/9th Grade,4,4,,NA
Simulated,6,PD,Student,College Level,4,4,,NA
Simulated,7,PD,Student,5th Grade,5,5,,NA
Simulated,7,PD,Student,8th/9th Grade,4,4,,NA
Simulated,7,PD,Student,College Level,5,5,,NA
Simulated,8,PD,Student,5th Grade,4,4,,NA
Simulated,8,PD,Student,8th/9th Grade,4,4,,NA
Simulated,8,PD,Student,College Level,4,4,,NA
Simulated,9,PD,Student,5th Grade,5,5,,NA
Simulated,9,PD,Student,8th/9th Grade,5,5,,NA
Simulated,9,PD,Student,College Level,5,5,,NA
Simulated,10,PD,Student,5th Grade,5,5,,NA
Simulated,10,PD,Student,8th/9th Grade,5,5,,NA
Simulated,10,PD,Student,College Level,5,5,,NA
Simulated,11,PD,Student,5th Grade,5,4,,NA
Simulated,11,PD,Student,8th/9th Grade,5,4,,NA
Simulated,11,PD,Student,College Level,5,4,,NA
Simulated,12,PD,Student,5th Grade,4,3,,NA
Simulated,12,PD,Student,8th/9th Grade,4,3,,NA
Simulated,12,PD,Student,College Level,4,3,,NA
Simulated,13,PD,Student,5th Grade,5,5,,NA
Simulated,13,PD,Student,8th/9th Grade,5,5,,NA
Simulated,13,PD,Student,College Level,5,5,,NA
Simulated,14,PD,Student,5th Grade,5,4,,NA
Simulated,14,PD,Student,8th/9th Grade,5,4,,NA
Simulated,14,PD,Student,College Level,5,4,,NA
Simulated,15,PD,Student,5th Grade,5,3,,NA
Simulated,15,PD,Student,8th/9th Grade,5,3,,NA
Simulated,15,PD,Student,College Level,5,3,,NA
Simulated,16,PD,Student,5th Grade,3,3,,NA
Simulated,16,PD,Student,8th/9th Grade,3,3,,NA
Simulated,16,PD,Student,College Level,3,3,,NA
Simulated,17,PD,Student,5th Grade,4,4,,NA
Simulated,17,PD,Student,8th/9th Grade,4,4,,NA
Simulated,17,PD,Student,College Level,4,4,,NA
Simulated,18,PD,Student,5th Grade,4,4,,NA
Simulated,18,PD,Student,8th/9th Grade,4,4,,NA
Simulated,18,PD,Student,College Level,4,4,,NA
Simulated,19,PD,Student,5th Grade,4,5,,NA
Simulated,19,PD,Student,8th/9th Grade,4,5,,NA
Simulated,19,PD,Student,College Level,4,5,,NA
Simulated,20,PD,Student,5th Grade,4,4,,NA
Simulated,20,PD,Student,8th/9th Grade,5,4,,NA
Simulated,20,PD,Student,College Level,5,4,,NA
Simulated,21,PD,Student,5th Grade,5,5,,NA
Simulated,21,PD,Student,8th/9th Grade,5,5,,NA
Simulated,21,PD,Student,College Level,5,5,,NA
Simulated,22,PD,Student,5th Grade,5,4,,NA
Simulated,22,PD,Student,8th/9th Grade,5,4,,NA
Simulated,22,PD,Student,College Level,5,4,,NA
Simulated,23,PD,Student,5th Grade,2,2,,NA
Simulated,23,PD,Student,8th/9th Grade,2,2,,NA
Simulated,23,PD,Student,College Level,1,1,,NA
Simulated,24,PD,Student,5th Grade,5,4,,NA
Simulated,24,PD,Student,8th/9th Grade,5,4,,NA
Simulated,24,PD,Student,College Level,5,4,,NA
Simulated,25,PD,Student,5th Grade,5,5,,NA
Simulated,25,PD,Student,8th/9th Grade,5,5,,NA
Simulated,25,PD,Student,College Level,2,2,,NA
Simulated,26,PD,Student,5th Grade,5,4,,NA
Simulated,26,PD,Student,8th/9th Grade,5,4,,NA
Simulated,26,PD,Student,College Level,5,4,,NA
Simulated,27,PD,Student,5th Grade,5,3,,NA
Simulated,27,PD,Student,8th/9th Grade,5,3,,NA
Simulated,27,PD,Student,College Level,5,3,,NA
Simulated,28,PD,Student,5th Grade,4,5,,NA
Simulated,28,PD,Student,8th/9th Grade,5,5,,NA
Simulated,28,PD,Student,College Level,4,4,,NA
Simulated,29,PD,Student,5th Grade,5,5,,NA
Simulated,29,PD,Student,8th/9th Grade,5,5,,NA
Simulated,29,PD,Student,College Level,5,5,,NA
Simulated,30,PD,Student,5th Grade,5,4,,NA
Simulated,30,PD,Student,8th/9th Grade,5,4,,NA
Simulated,30,PD,Student,College Level,5,4,,NA
Simulated,31,PD,Student,5th Grade,5,5,,NA
Simulated,31,PD,Student,8th/9th Grade,5,5,,NA
Simulated,31,PD,Student,College Level,5,5,,NA
Simulated,32,PD,Student,5th Grade,4,4,,NA
Simulated,32,PD,Student,8th/9th Grade,4,4,,NA
Simulated,32,PD,Student,College Level,4,4,,NA
Simulated,33,PD,Student,5th Grade,5,5,,NA
Simulated,33,PD,Student,8th/9th Grade,5,5,,NA
Simulated,33,PD,Student,College Level,5,5,,NA
Simulated,34,PD,Student,5th Grade,5,5,,NA
Simulated,34,PD,Student,8th/9th Grade,5,5,,NA
Simulated,34,PD,Student,College Level,5,5,,NA
Simulated,35,PD,Student,5th Grade,5,5,,NA
Simulated,35,PD,Student,8th/9th Grade,5,5,,NA
Simulated,35,PD,Student,College Level,5,5,,NA
Real,1,AK,Student,5th Grade,4,3,,5
Real,1,AK,Student,8th/9th Grade,4,4,,5
Real,1,AK,Student,College Level,4,4,,5
Real,2,AK,Student,5th Grade,5,4,,5
Real,2,AK,Student,8th/9th Grade,5,5,,6
Real,2,AK,Student,College Level,5,5,,6
Real,3,AK,Student,5th Grade,5,4,,8
Real,3,AK,Student,8th/9th Grade,5,5,,8
Real,3,AK,Student,College Level,5,5,,8
Real,4,AK,Student,5th Grade,4,5,,7
Real,4,AK,Student,8th/9th Grade,5,5,,10
Real,4,AK,Student,College Level,5,5,,10
Real,5,AK,Student,5th Grade,4,4,,10
Real,5,AK,Student,8th/9th Grade,4,4,,10
Real,5,AK,Student,College Level,5,4,,10
Real,6,AK,Student,5th Grade,4,2,,9
Real,6,AK,Student,8th/9th Grade,3,2,,9
Real,6,AK,Student,College Level,4,2,,9
Real,7,AK,Student,5th Grade,4,5,,6
Real,7,AK,Student,8th/9th Grade,4,5,,9
Real,7,AK,Student,College Level,4,5,,9
Real,8,AK,Student,5th Grade,4,2,,9
Real,8,AK,Student,8th/9th Grade,4,2,,9
Real,8,AK,Student,College Level,4,2,,10
Real,9,AK,Student,5th Grade,2,4,,8
Real,9,AK,Student,8th/9th Grade,4,2,,10
Real,9,AK,Student,College Level,2,4,,10
Real,10,AK,Student,5th Grade,2,3,,6
Real,10,AK,Student,8th/9th Grade,3,4,,7
Real,10,AK,Student,College Level,3,5,,8
Real,11,AK,Student,5th Grade,2,4,,8
Real,11,AK,Student,8th/9th Grade,5,2,,10
Real,11,AK,Student,College Level,4,2,,10
Real,12,AK,Student,5th Grade,2,3,,6
Real,12,AK,Student,8th/9th Grade,4,4,,9
Real,12,AK,Student,College Level,1,3,,9
Real,13,AK,Student,5th Grade,2,1,,8
Real,13,AK,Student,8th/9th Grade,5,5,,10
Real,13,AK,Student,College Level,4,4,,10
Real,14,AK,Student,5th Grade,2,1,,9
Real,14,AK,Student,8th/9th Grade,2,1,,9
Real,14,AK,Student,College Level,5,5,,10
Real,15,AK,Student,5th Grade,2,1,,7
Real,15,AK,Student,8th/9th Grade,2,1,,7
Real,15,AK,Student,College Level,5,5,,8
Real,16,AK,Student,5th Grade,4,2,,4
Real,16,AK,Student,8th/9th Grade,4,2,,7
Real,16,AK,Student,College Level,4,2,,7
Real,17,AK,Student,5th Grade,2,1,,8
Real,17,AK,Student,8th/9th Grade,5,5,,10
Real,17,AK,Student,College Level,5,5,,10
Real,18,AK,Student,5th Grade,3,2,,7
Real,18,AK,Student,8th/9th Grade,4,2,,8
Real,18,AK,Student,College Level,4,2,,8
Real,19,AK,Student,5th Grade,1,1,,7
Real,19,AK,Student,8th/9th Grade,4,4,,9
Real,19,AK,Student,College Level,5,4,,9
Real,20,AK,Student,5th Grade,5,5,,7
Real,20,AK,Student,8th/9th Grade,4,3,,9
Real,20,AK,Student,College Level,4,5,,10
Real,21,AK,Student,5th Grade,5,5,,9
Real,21,AK,Student,8th/9th Grade,2,1,,10
Real,21,AK,Student,College Level,4,5,,10
Real,22,AK,Student,5th Grade,4,5,,8
Real,22,AK,Student,8th/9th Grade,5,5,,8
Real,22,AK,Student,College Level,5,5,,8
Real,23,AK,Student,5th Grade,3,2,,8
Real,23,AK,Student,8th/9th Grade,4,5,,8
Real,23,AK,Student,College Level,4,5,,9
Real,24,AK,Student,5th Grade,4,5,,9
Real,24,AK,Student,8th/9th Grade,4,5,,9
Real,24,AK,Student,College Level,5,5,,10
Real,25,AK,Student,5th Grade,5,5,,8
Real,25,AK,Student,8th/9th Grade,5,5,,8
Real,25,AK,Student,College Level,5,5,,9
Real,26,AK,Student,5th Grade,3,2,,8
Real,26,AK,Student,8th/9th Grade,4,5,,8
Real,26,AK,Student,College Level,4,5,,9
Real,27,AK,Student,5th Grade,5,5,,8
Real,27,AK,Student,8th/9th Grade,5,5,,9
Real,27,AK,Student,College Level,5,5,,10
Real,28,AK,Student,5th Grade,2,1,,8
Real,28,AK,Student,8th/9th Grade,4,5,,8
Real,28,AK,Student,College Level,3,5,,9
Real,29,AK,Student,5th Grade,2,1,,8
Real,29,AK,Student,8th/9th Grade,5,5,,8
Real,29,AK,Student,College Level,5,5,,8
Real,30,AK,Student,5th Grade,5,5,,8
Real,30,AK,Student,8th/9th Grade,5,5,,8
Real,30,AK,Student,College Level,5,5,,9
Real,31,AK,Student,5th Grade,5,5,,9
Real,31,AK,Student,8th/9th Grade,5,5,,9
Real,31,AK,Student,College Level,5,5,,9
Real,32,AK,Student,5th Grade,1,1,,8
Real,32,AK,Student,8th/9th Grade,4,4,,8
Real,32,AK,Student,College Level,3,2,,10
Real,33,AK,Student,5th Grade,4,5,,9
Real,33,AK,Student,8th/9th Grade,5,5,,10
Real,33,AK,Student,College Level,5,5,,10
Real,34,AK,Student,5th Grade,2,2,,9
Real,34,AK,Student,8th/9th Grade,2,2,,9
Real,34,AK,Student,College Level,4,5,,9
Real,35,AK,Student,5th Grade,2,1,,9
Real,35,AK,Student,8th/9th Grade,4,5,,10
Real,35,AK,Student,College Level,4,5,,10
Real,1,MSA,Student,5th Grade,5,5,,7
Real,1,MSA,Student,8th/9th Grade,5,5,,9
Real,1,MSA,Student,College Level,5,5,,10
Real,2,MSA,Student,5th Grade,5,5,,7
Real,2,MSA,Student,8th/9th Grade,5,5,,9
Real,2,MSA,Student,College Level,5,5,,9
Real,3,MSA,Student,5th Grade,4,5,,8
Real,3,MSA,Student,8th/9th Grade,5,5,,8
Real,3,MSA,Student,College Level,4,5,,9
Real,4,MSA,Student,5th Grade,4,5,,6
Real,4,MSA,Student,8th/9th Grade,5,5,,9
Real,4,MSA,Student,College Level,5,5,,10
Real,5,MSA,Student,5th Grade,4,5,,7
Real,5,MSA,Student,8th/9th Grade,5,5,,8
Real,5,MSA,Student,College Level,5,5,,10
Real,6,MSA,Student,5th Grade,4,3,,8
Real,6,MSA,Student,8th/9th Grade,4,3,,9
Real,6,MSA,Student,College Level,4,3,,10
Real,7,MSA,Student,5th Grade,5,5,,6
Real,7,MSA,Student,8th/9th Grade,5,5,,6
Real,7,MSA,Student,College Level,5,5,,8
Real,8,MSA,Student,5th Grade,2,1,,7
Real,8,MSA,Student,8th/9th Grade,2,1,,7
Real,8,MSA,Student,College Level,2,1,,8
Real,9,MSA,Student,5th Grade,2,5,,8
Real,9,MSA,Student,8th/9th Grade,4,2,,9
Real,9,MSA,Student,College Level,5,5,,10
Real,10,MSA,Student,5th Grade,5,5,,6
Real,10,MSA,Student,8th/9th Grade,5,5,,7
Real,10,MSA,Student,College Level,5,5,,7
Real,11,MSA,Student,5th Grade,3,4,,7
Real,11,MSA,Student,8th/9th Grade,2,2,,8
Real,11,MSA,Student,College Level,2,2,,8
Real,12,MSA,Student,5th Grade,5,5,,7
Real,12,MSA,Student,8th/9th Grade,5,5,,8
Real,12,MSA,Student,College Level,5,5,,8
Real,13,MSA,Student,5th Grade,2,2,,6
Real,13,MSA,Student,8th/9th Grade,5,5,,8
Real,13,MSA,Student,College Level,5,5,,8
Real,14,MSA,Student,5th Grade,2,1,,8
Real,14,MSA,Student,8th/9th Grade,2,1,,9
Real,14,MSA,Student,College Level,4,5,,10
Real,15,MSA,Student,5th Grade,3,2,,8
Real,15,MSA,Student,8th/9th Grade,2,2,,9
Real,15,MSA,Student,College Level,4,4,,9
Real,16,MSA,Student,5th Grade,3,2,,8
Real,16,MSA,Student,8th/9th Grade,3,2,,9
Real,16,MSA,Student,College Level,3,2,,9
Real,17,MSA,Student,5th Grade,2,2,,8
Real,17,MSA,Student,8th/9th Grade,5,5,,9
Real,17,MSA,Student,College Level,5,5,,9
Real,18,MSA,Student,5th Grade,1,2,,9
Real,18,MSA,Student,8th/9th Grade,2,1,,9
Real,18,MSA,Student,College Level,2,2,,10
Real,19,MSA,Student,5th Grade,5,5,,8
Real,19,MSA,Student,8th/9th Grade,5,5,,10
Real,19,MSA,Student,College Level,5,5,,10
Real,20,MSA,Student,5th Grade,3,5,,7
Real,20,MSA,Student,8th/9th Grade,3,3,,8
Real,20,MSA,Student,College Level,3,5,,8
Real,21,MSA,Student,5th Grade,4,5,,7
Real,21,MSA,Student,8th/9th Grade,2,2,,9
Real,21,MSA,Student,College Level,4,5,,9
Real,22,MSA,Student,5th Grade,5,5,,6
Real,22,MSA,Student,8th/9th Grade,5,5,,7
Real,22,MSA,Student,College Level,5,5,,8
Real,23,MSA,Student,5th Grade,3,1,,10
Real,23,MSA,Student,8th/9th Grade,3,5,,10
Real,23,MSA,Student,College Level,3,5,,10
Real,24,MSA,Student,5th Grade,5,5,,7
Real,24,MSA,Student,8th/9th Grade,4,5,,7
Real,24,MSA,Student,College Level,5,5,,8
Real,25,MSA,Student,5th Grade,5,5,,7
Real,25,MSA,Student,8th/9th Grade,4,5,,8
Real,25,MSA,Student,College Level,4,5,,9
Real,26,MSA,Student,5th Grade,2,1,,8
Real,26,MSA,Student,8th/9th Grade,4,5,,8
Real,26,MSA,Student,College Level,4,5,,9
Real,27,MSA,Student,5th Grade,4,5,,8
Real,27,MSA,Student,8th/9th Grade,4,5,,9
Real,27,MSA,Student,College Level,4,5,,9
Real,28,MSA,Student,5th Grade,2,2,,5
Real,28,MSA,Student,8th/9th Grade,4,5,,6
Real,28,MSA,Student,College Level,4,5,,7
Real,29,MSA,Student,5th Grade,2,2,,9
Real,29,MSA,Student,8th/9th Grade,4,5,,9
Real,29,MSA,Student,College Level,4,5,,9
Real,30,MSA,Student,5th Grade,4,4,,8
Real,30,MSA,Student,8th/9th Grade,4,4,,9
Real,30,MSA,Student,College Level,4,4,,9
Real,31,MSA,Student,5th Grade,5,5,,6
Real,31,MSA,Student,8th/9th Grade,5,5,,7
Real,31,MSA,Student,College Level,5,5,,7
Real,32,MSA,Student,5th Grade,2,2,,6
Real,32,MSA,Student,8th/9th Grade,4,4,,7
Real,32,MSA,Student,College Level,3,2,,8
Real,33,MSA,Student,5th Grade,5,5,,8
Real,33,MSA,Student,8th/9th Grade,5,5,,9
Real,33,MSA,Student,College Level,5,5,,9
Real,34,MSA,Student,5th Grade,2,2,,8
Real,34,MSA,Student,8th/9th Grade,3,3,,9
Real,34,MSA,Student,College Level,3,5,,9
Real,35,MSA,Student,5th Grade,2,1,,7
Real,35,MSA,Student,8th/9th Grade,4,5,,8
Real,35,MSA,Student,College Level,4,5,,8
Real,1,PD,Student,5th Grade,5,5,,9
Real,1,PD,Student,8th/9th Grade,5,5,,10
Real,1,PD,Student,College Level,5,5,,10
Real,2,PD,Student,5th Grade,5,5,,8
Real,2,PD,Student,8th/9th Grade,5,5,,8
Real,2,PD,Student,College Level,5,5,,8
Real,3,PD,Student,5th Grade,5,5,,10
Real,3,PD,Student,8th/9th Grade,5,5,,10
Real,3,PD,Student,College Level,5,5,,10
Real,4,PD,Student,5th Grade,5,5,,10
Real,4,PD,Student,8th/9th Grade,5,5,,10
Real,4,PD,Student,College Level,5,5,,10
Real,5,PD,Student,5th Grade,5,5,,10
Real,5,PD,Student,8th/9th Grade,5,5,,10
Real,5,PD,Student,College Level,5,5,,10
Real,6,PD,Student,5th Grade,3,3,,8
Real,6,PD,Student,8th/9th Grade,3,3,,8
Real,6,PD,Student,College Level,3,3,,8
Real,7,PD,Student,5th Grade,5,5,,8
Real,7,PD,Student,8th/9th Grade,5,5,,8
Real,7,PD,Student,College Level,5,5,,8
Real,8,PD,Student,5th Grade,3,5,,8
Real,8,PD,Student,8th/9th Grade,3,5,,8
Real,8,PD,Student,College Level,3,5,,8
Real,9,PD,Student,5th Grade,3,5,,4
Real,9,PD,Student,8th/9th Grade,2,2,,5
Real,9,PD,Student,College Level,5,5,,5
Real,10,PD,Student,5th Grade,3,4,,5
Real,10,PD,Student,8th/9th Grade,3,4,,5
Real,10,PD,Student,College Level,3,4,,5
Real,11,PD,Student,5th Grade,3,5,,6
Real,11,PD,Student,8th/9th Grade,2,3,,6
Real,11,PD,Student,College Level,2,3,,6
Real,12,PD,Student,5th Grade,4,5,,6
Real,12,PD,Student,8th/9th Grade,4,5,,8
Real,12,PD,Student,College Level,4,5,,6
Real,13,PD,Student,5th Grade,2,2,,4
Real,13,PD,Student,8th/9th Grade,2,2,,4
Real,13,PD,Student,College Level,2,2,,4
Real,14,PD,Student,5th Grade,1,1,,6
Real,14,PD,Student,8th/9th Grade,1,1,,8
Real,14,PD,Student,College Level,4,5,,8
Real,15,PD,Student,5th Grade,2,2,,6
Real,15,PD,Student,8th/9th Grade,2,2,,8
Real,15,PD,Student,College Level,4,5,,8
Real,16,PD,Student,5th Grade,4,4,,6
Real,16,PD,Student,8th/9th Grade,4,4,,6
Real,16,PD,Student,College Level,4,4,,8
Real,17,PD,Student,5th Grade,1,1,,6
Real,17,PD,Student,8th/9th Grade,4,5,,6
Real,17,PD,Student,College Level,5,5,,6
Real,18,PD,Student,5th Grade,1,1,,3
Real,18,PD,Student,8th/9th Grade,1,1,,3
Real,18,PD,Student,College Level,1,1,,3
Real,19,PD,Student,5th Grade,1,1,,7
Real,19,PD,Student,8th/9th Grade,5,5,,7
Real,19,PD,Student,College Level,5,5,,8
Real,20,PD,Student,5th Grade,3,5,,7
Real,20,PD,Student,8th/9th Grade,3,3,,7
Real,20,PD,Student,College Level,3,5,,7
Real,21,PD,Student,5th Grade,4,5,,6
Real,21,PD,Student,8th/9th Grade,2,2,,7
Real,21,PD,Student,College Level,4,5,,7
Real,22,PD,Student,5th Grade,4,5,,2
Real,22,PD,Student,8th/9th Grade,4,5,,2
Real,22,PD,Student,College Level,4,5,,2
Real,23,PD,Student,5th Grade,2,2,,2
Real,23,PD,Student,8th/9th Grade,3,5,,2
Real,23,PD,Student,College Level,3,5,,2
Real,24,PD,Student,5th Grade,4,4,,8
Real,24,PD,Student,8th/9th Grade,4,4,,8
Real,24,PD,Student,College Level,4,4,,8
Real,25,PD,Student,5th Grade,3,5,,7
Real,25,PD,Student,8th/9th Grade,3,5,,7
Real,25,PD,Student,College Level,3,5,,8
Real,26,PD,Student,5th Grade,1,1,,1
Real,26,PD,Student,8th/9th Grade,2,5,,1
Real,26,PD,Student,College Level,2,5,,1
Real,27,PD,Student,5th Grade,4,5,,5
Real,27,PD,Student,8th/9th Grade,4,5,,6
Real,27,PD,Student,College Level,4,5,,6
Real,28,PD,Student,5th Grade,1,1,,6
Real,28,PD,Student,8th/9th Grade,3,5,,7
Real,28,PD,Student,College Level,3,5,,8
Real,29,PD,Student,5th Grade,1,1,,2
Real,29,PD,Student,8th/9th Grade,2,5,,2
Real,29,PD,Student,College Level,3,5,,2
Real,30,PD,Student,5th Grade,5,5,,7
Real,30,PD,Student,8th/9th Grade,5,5,,7
Real,30,PD,Student,College Level,5,5,,7
Real,31,PD,Student,5th Grade,3,5,,4
Real,31,PD,Student,8th/9th Grade,3,5,,4
Real,31,PD,Student,College Level,3,5,,4
Real,32,PD,Student,5th Grade,1,1,,5
Real,32,PD,Student,8th/9th Grade,4,5,,5
Real,32,PD,Student,College Level,1,1,,7
Real,33,PD,Student,5th Grade,5,5,,5
Real,33,PD,Student,8th/9th Grade,5,5,,5
Real,33,PD,Student,College Level,5,5,,6
Real,34,PD,Student,5th Grade,2,5,,10
Real,34,PD,Student,8th/9th Grade,2,5,,10
Real,34,PD,Student,College Level,5,5,,10
Real,35,PD,Student,5th Grade,1,1,,2
Real,35,PD,Student,8th/9th Grade,4,5,,8
Real,35,PD,Student,College Level,4,5,,8
